category,title,url,pages,words,outcome,reason
judgments,"ADVOCATE CHRIST MEDICAL CENTER et al v. KENNEDY, SECRETARY OF HEALTH AND HUMAN",https://www.supremecourt.gov/opinions/24pdf/605us1r28_limq.pdf,39,13041,kept,
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ99/pdf/PLAW-118publ99.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ99/pdf/PLAW-118publ99.pdf,4,987,skip,too short (4p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ98/pdf/PLAW-118publ98.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ98/pdf/PLAW-118publ98.pdf,3,929,skip,too short (3p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ97/pdf/PLAW-118publ97.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ97/pdf/PLAW-118publ97.pdf,2,376,skip,too short (2p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ96/pdf/PLAW-118publ96.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ96/pdf/PLAW-118publ96.pdf,4,1301,skip,too short (4p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ95/pdf/PLAW-118publ95.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ95/pdf/PLAW-118publ95.pdf,2,632,skip,too short (2p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ94/pdf/PLAW-118publ94.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ94/pdf/PLAW-118publ94.pdf,1,248,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ93/pdf/PLAW-118publ93.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ93/pdf/PLAW-118publ93.pdf,1,288,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ92/pdf/PLAW-118publ92.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ92/pdf/PLAW-118publ92.pdf,4,797,skip,too short (4p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ91/pdf/PLAW-118publ91.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ91/pdf/PLAW-118publ91.pdf,2,389,skip,too short (2p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ90/pdf/PLAW-118publ90.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ90/pdf/PLAW-118publ90.pdf,1,213,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ9/pdf/PLAW-118publ9.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ9/pdf/PLAW-118publ9.pdf,1,257,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ89/pdf/PLAW-118publ89.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ89/pdf/PLAW-118publ89.pdf,2,486,skip,too short (2p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ88/pdf/PLAW-118publ88.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ88/pdf/PLAW-118publ88.pdf,4,1291,skip,too short (4p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ87/pdf/PLAW-118publ87.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ87/pdf/PLAW-118publ87.pdf,5,1791,skip,too short (5p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ86/pdf/PLAW-118publ86.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ86/pdf/PLAW-118publ86.pdf,1,239,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ85/pdf/PLAW-118publ85.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ85/pdf/PLAW-118publ85.pdf,4,908,skip,too short (4p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ84/pdf/PLAW-118publ84.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ84/pdf/PLAW-118publ84.pdf,2,453,skip,too short (2p < 15)
acts,"Continuing Appropriations and Extensions Act, 2025",https://www.govinfo.gov/content/pkg/PLAW-118publ83/pdf/PLAW-118publ83.pdf,21,9076,kept,
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ82/pdf/PLAW-118publ82.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ82/pdf/PLAW-118publ82.pdf,3,893,skip,too short (3p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ81/pdf/PLAW-118publ81.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ81/pdf/PLAW-118publ81.pdf,1,413,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ80/pdf/PLAW-118publ80.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ80/pdf/PLAW-118publ80.pdf,2,481,skip,too short (2p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ8/pdf/PLAW-118publ8.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ8/pdf/PLAW-118publ8.pdf,2,427,skip,too short (2p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ79/pdf/PLAW-118publ79.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ79/pdf/PLAW-118publ79.pdf,3,855,skip,too short (3p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ78/pdf/PLAW-118publ78.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ78/pdf/PLAW-118publ78.pdf,4,1205,skip,too short (4p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ77/pdf/PLAW-118publ77.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ77/pdf/PLAW-118publ77.pdf,2,318,skip,too short (2p < 15)
