title,category,source_org,url,year,pages,words,local_path,sha256
Offshore Wind Energy Development: Legal Framework,pov,Congressional Research Service,https://www.everycrsreport.com/files/2025-08-28_R40175_45b8b0a75b2d2e63a80698a14cc29d14d340f848.pdf,,17,8154,dataset\pov\offshore_wind_energy_development_legal_framework_everycrsreportcom.pdf,079bff31e8e34996b988c7be150dffee034e6ca6b18639695f31595a8d35cb69
"Judicial Nomination Statistics and Analysis: U.S. Circuit and District Courts, 1977-2024",pov,Congressional Research Service,https://www.everycrsreport.com/files/2025-08-11_R45622_93c01617ab26ba40d65c0e87edfa19c454077347.pdf,,50,23229,dataset\pov\judicial_nomination_statistics_and_analysis_us_circuit_and_district_co.pdf,f1021c53faa91b3f88614c391e67ef0540a17381140bb1baba704c6f5ff84198
"Trump v. CASA, Inc. and Nationwide Injunctions During the Second Trump Administration",pov,Congressional Research Service,https://www.everycrsreport.com/files/2025-07-16_R48600_f3b3ddcaa06a10f6365c9595cd16e89726c32ab0.pdf,,28,15522,dataset\pov\trump_v_casa_inc_and_nationwide_injunctions_during_the_second_trump_ad.pdf,4b5d0ff09bbfa602bfd85d3024cb10c767675331f82fe5d4e3c7004388c3bf4b
"[Archived] Work Requirements: Existing Policies in Medicaid, SNAP, Housing Assistance, and TANF",pov,Congressional Research Service,https://www.everycrsreport.com/files/2025-06-25_R48531_0713b2d33a740d7c0999792a3c1a19d9edd6f48b.pdf,,52,25365,dataset\pov\archived_work_requirements_existing_policies_in_medicaid_snap_housing.pdf,39d3ff3008d97e7e930b0041af209453554f3bbd868ba5edd4ef49abef70130a
The Office of Information and Regulatory Affairs (OIRA): Overview and Major Responsibilities,pov,Congressional Research Service,https://www.everycrsreport.com/files/2025-05-27_R48546_cf13630c53d7be4dfbc5bdb8738021de51e14f83.pdf,,28,11469,dataset\pov\the_office_of_information_and_regulatory_affairs_oira_overview_and_maj.pdf,4e99fc88e88223d35234ddcda353a78a0753b337b86fc7cc5077f6ce15232aa2
The Executive Budget Process: An Overview,pov,Congressional Research Service,https://www.everycrsreport.com/files/2025-05-22_R47019_c4bb6d0efa7c680ababb1f5da777009bcb4e9e7e.pdf,,38,16215,dataset\pov\the_executive_budget_process_an_overview_everycrsreportcom.pdf,2cb336312fc2ed28663e5d28add3c25db75f9a6f2b37b63e0d8ce86a19df833b
Nationwide Injunctions in the First Hundred Days of the Second Trump Administration,pov,Congressional Research Service,https://www.everycrsreport.com/files/2025-05-16_R48476_d57c086bd02daf7a3c3a4df5db3b8a910c8f1549.pdf,,15,7280,dataset\pov\nationwide_injunctions_in_the_first_hundred_days_of_the_second_trump_a.pdf,746dbd2679e92f63ed20b1d161090cd132f8526c6cbd348881f9031b8ce74a13
Federal Preemption and State Authority to Deter the Presence of Unlawfully Present Aliens: An Overview and Issues for the 119th Congress,pov,Congressional Research Service,https://www.everycrsreport.com/files/2025-05-06_R48525_dd018090be32c082365a16e6973f85e4d905c8e3.pdf,,33,19471,dataset\pov\federal_preemption_and_state_authority_to_deter_the_presence_of_unlawf.pdf,7b700c65e4637718196e771a41c6c026418bceb72eb02b7a14a0c11d8766ab88
Congress and the Scope of the President’s Article II Foreign Policy Authorities,pov,Congressional Research Service,https://www.everycrsreport.com/files/2025-05-02_R48524_90f4fd2c665557325703f61dacfc74721b6d2f64.pdf,,38,23817,dataset\pov\congress_and_the_scope_of_the_presidents_article_ii_foreign_policy_aut.pdf,caa252608440034ecf5b4f28b3c005453c7164132f2a1ff4553c38a75b0a5a58
IRS Publication 334 — Tax Guide for Small Business,tax,Internal Revenue Service,https://www.irs.gov/pub/irs-pdf/p334.pdf,,57,45362,dataset\tax\irs_publication_334_tax_guide_for_small_business.pdf,722639ba7bfd6f5348234b58d21e1afd8cb0c04895138bd5c4539142dde6c60a
"IRS Publication 501 — Dependents, Standard Deduction, and Filing Information",tax,Internal Revenue Service,https://www.irs.gov/pub/irs-pdf/p501.pdf,,31,36029,dataset\tax\irs_publication_501_dependents_standard_deduction_and_filing_informati.pdf,288b62a4917f3bc3df0bade7a22c23a8ae648ba9eb5086df5b8b50e881148ff6
IRS Publication 502 — Medical and Dental Expenses,tax,Internal Revenue Service,https://www.irs.gov/pub/irs-pdf/p502.pdf,,27,19640,dataset\tax\irs_publication_502_medical_and_dental_expenses.pdf,11801353ab959ee04dcadc1f799b6c0b87e1879680fe6f8511af3fa113690d25
IRS Publication 503 — Child and Dependent Care Expenses,tax,Internal Revenue Service,https://www.irs.gov/pub/irs-pdf/p503.pdf,,20,14832,dataset\tax\irs_publication_503_child_and_dependent_care_expenses.pdf,3a00d0c1a1d6d3a88afdf418b79873f95f6d2de584c330ec67647139c09c5532
IRS Publication 505 — Tax Withholding and Estimated Tax,tax,Internal Revenue Service,https://www.irs.gov/pub/irs-pdf/p505.pdf,,48,48382,dataset\tax\irs_publication_505_tax_withholding_and_estimated_tax.pdf,c69e87caa93cdefa4493f0ec1d8478b1ff9ec1329ee18c7b9d442f2dcb79c621
IRS Publication 514 — Foreign Tax Credit for Individuals,tax,Internal Revenue Service,https://www.irs.gov/pub/irs-pdf/p514.pdf,,49,41967,dataset\tax\irs_publication_514_foreign_tax_credit_for_individuals.pdf,35061c2d247112cd65654cdcd446aa7bd2d3370f84da2563239b8fe772a462bb
IRS Publication 517 — Social Security for Members of the Clergy,tax,Internal Revenue Service,https://www.irs.gov/pub/irs-pdf/p517.pdf,,18,18451,dataset\tax\irs_publication_517_social_security_for_members_of_the_clergy.pdf,42b05466cf30b99d4d487df5bb9ff412250a3e072217a8320b3727b60182b451
IRS Publication 523 — Selling Your Home,tax,Internal Revenue Service,https://www.irs.gov/pub/irs-pdf/p523.pdf,,27,22386,dataset\tax\irs_publication_523_selling_your_home.pdf,f11fca89408fa329fdbfec9b9bd0aa22f411f30704e805088076d89a754f736b
IRS Publication 525 — Taxable and Nontaxable Income,tax,Internal Revenue Service,https://www.irs.gov/pub/irs-pdf/p525.pdf,,42,55808,dataset\tax\irs_publication_525_taxable_and_nontaxable_income.pdf,39b0fa5e04c5d159a34583da12a91326f396f69286f4b7a6f399d34cebc2c25b
IRS Publication 526 — Charitable Contributions,tax,Internal Revenue Service,https://www.irs.gov/pub/irs-pdf/p526.pdf,,40,33351,dataset\tax\irs_publication_526_charitable_contributions.pdf,607011d9065a39b2fa3e08eda90c6313c581c2d4515f00fc23b0ae0a145435ae
