title,category,source_org,url,year,pages,words,local_path,sha256
"A. J. T., by and through her parents, A. T., et al v. OSSEO AREA SCHOOLS, INDEPENDENT SCHOOL DISTRICT NO. 279, et al",judgments,Supreme Court of the United States,https://www.supremecourt.gov/opinions/24pdf/605us2r41_bp7c.pdf,2024,27,9208,dataset\judgments\a_j_t_by_and_through_her_parents_a_t_et_al_v_osseo_area_schools_indepe.pdf,c7f7f47ffad4432638caa73968012e870208d9f094db359790334a7d1832cfb7
AMES v. OHIO DEPT. OF YOUTH SERVICES,judgments,Supreme Court of the United States,https://www.supremecourt.gov/opinions/24pdf/605us1r39_kkg1.pdf,2024,26,8366,dataset\judgments\ames_v_ohio_dept_of_youth_services.pdf,d4d84b175bc99b5f4b1a74c5c6fab70031b128fb4aac82f4e7e9935684b1f7c0
"SMITH & WESSON BRANDS, INC., et al v. ESTADOS UNIDOS MEXICANOS",judgments,Supreme Court of the United States,https://www.supremecourt.gov/opinions/24pdf/605us1r38_j426.pdf,2024,25,8641,dataset\judgments\smith_wesson_brands_inc_et_al_v_estados.pdf,3bf648c8d88b1204f354168f13ac94f67f750f69238f07786c7992e063eb7a66
"CATHOLIC CHARITIES BUREAU, INC., et al v. WISCONSIN LABOR AND INDUSTRY REVIEW COMMISSION et al",judgments,Supreme Court of the United States,https://www.supremecourt.gov/opinions/24pdf/605us1r37_986b.pdf,2024,44,14173,dataset\judgments\catholic_charities_bureau_inc_et_al_v_wisconsin_labor_and_industry_rev.pdf,44dee03581c22cc57dd2cb2a58c95f1b7d37b8b31b83a35ab7b781e931187dc8
DEVAS (MAURITIUS) LTD. et al v. ANTRIX CORP. LTD. et al,judgments,Supreme Court of the United States,https://www.supremecourt.gov/opinions/24pdf/605us1r36_4f14.pdf,2024,17,5152,dataset\judgments\devas_mauritius_ltd_et_al_v_antrix.pdf,61e5766206c58fdc9e8773ca47bd9c43155c62a012d2aa0dfb9a9410d5de43a2
BLOM BANK SAL v. HONICKMAN et al,judgments,Supreme Court of the United States,https://www.supremecourt.gov/opinions/24pdf/605us1r35_4f14.pdf,2024,21,6638,dataset\judgments\blom_bank_sal_v_honickman_et_al.pdf,29b956d5b985309b9b690ecb191c032b3d8c7afb2387c12c3a6a7acbe69652f7
"SEVEN COUNTY INFRASTRUCTURE COALITION et al v. EAGLE COUNTY, COLORADO, et al",judgments,Supreme Court of the United States,https://www.supremecourt.gov/opinions/24pdf/605us1r34_h3ci.pdf,2024,38,12845,dataset\judgments\robertson_v_methow_valley_citi.pdf,58b34001b0e43c40da1d5485feda45faf35837241f8493caca21da041d385396
KOUSISIS et al v. UNITED STATES,judgments,Supreme Court of the United States,https://www.supremecourt.gov/opinions/24pdf/605us1r32_f2ah.pdf,2024,53,18532,dataset\judgments\kousisis_et_al_v_united_states.pdf,84a0f5065a945f62cf1db8406860aefb5c3f52c70d887dc8b06b125872531670
"A. A. R. P. et al v. TRUMP, PRESIDENT OF THE UNITED STATES, et al",judgments,Supreme Court of the United States,https://www.supremecourt.gov/opinions/24pdf/605us1r31_7k47.pdf,2024,25,8203,dataset\judgments\a_a_r_p_et_al_v_trump_president_of_the.pdf,19fb94ec530c6871d4474b9b2e30a425dd80fe6f7026b707247daf62f90a55df
"BARNES, individually and as representative of the ESTATE OF BARNES, DECEASED v. FELIX et al",judgments,Supreme Court of the United States,https://www.supremecourt.gov/opinions/24pdf/605us1r30_h315.pdf,2024,20,6585,dataset\judgments\estate_of_barnes_deceased_v_felix_et_al.pdf,2454ec25332d9fc45e9e38c0b0af24881f604092c21d3574adcd338e35f255d1
FELICIANO v. DEPARTMENT OF TRANSPORTATION,judgments,Supreme Court of the United States,https://www.supremecourt.gov/opinions/24pdf/605us1r29_bp7c.pdf,2024,37,12328,dataset\judgments\feliciano_v_department_of_transportation.pdf,5080e91a9d106a41538890d85d639a943c7d47c606fff7a7f66ecd4c653c2535
"ADVOCATE CHRIST MEDICAL CENTER et al v. KENNEDY, SECRETARY OF HEALTH AND HUMAN SERVICES",judgments,Supreme Court of the United States,https://www.supremecourt.gov/opinions/24pdf/605us1r28_limq.pdf,2024,39,13041,dataset\judgments\advocate_christ_medical_center_et_al_v_kennedy_secretary_of_health_and.pdf,e2adc6205d74a8cf7c8f79ea53deffafa7402414808b78c68e9ef539514f1d5f
"Continuing Appropriations and Extensions Act, 2025",acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-118publ83/pdf/PLAW-118publ83.pdf,,21,9076,dataset\acts\continuing_appropriations_and_extensions_act_2025.pdf,c1230e576b99480e9bf1dc80991cfce792229dc807044cf0b4e1a971b5425596
Fire Grants and Safety Act of 2023,acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-118publ67/pdf/PLAW-118publ67.pdf,,36,15207,dataset\acts\fire_grants_and_safety_act_of_2023.pdf,d931ed82cbfac7acbf006915f1442efa12cf712aa11c1d5d031a44a475a8ba7c
Fiscal Responsibility Act of 2023,acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-118publ5/pdf/PLAW-118publ5.pdf,,41,18071,dataset\acts\fiscal_responsibility_act_of_2023.pdf,10744eeb112c588510e6420b9c8b6aad93204c9f6acf15a77bc67d328adcd55e
Reforming Intelligence and Securing America Act,acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-118publ49/pdf/PLAW-118publ49.pdf,,34,14753,dataset\acts\reforming_intelligence_and_securing_america_act.pdf,05016007ba794a668345bb64e420f1e2a6da1a559e9f993bf697d96607e6fcd0
Supporting America’s Children and Families Act,acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-118publ258/pdf/PLAW-118publ258.pdf,,26,11580,dataset\acts\supporting_america.pdf,69bf5f21274c681080e39c5f6e711cb3b7f9f5562e09615556f1941735efc008
"American Relief Act, 2025",acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-118publ158/pdf/PLAW-118publ158.pdf,,52,21377,dataset\acts\american_relief_act_2025.pdf,877a8a57794a5501bbe25361241b00ecb63d838a0edeb91be9f8c5666af0b7f3
Good Samaritan Remediation of Abandoned Hardrock Mines Act of 2024,acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-118publ155/pdf/PLAW-118publ155.pdf,,25,10219,dataset\acts\good_samaritan_remediation_of_abandoned_hardrock_mines_act_of_2024.pdf,12b22e3ac4cb667ec0db5c50089cbfcb2bde83f34fb120f986c1a3e672f8d851
"Continuing Appropriations Act, 2024 and Other Extensions Act",acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-118publ15/pdf/PLAW-118publ15.pdf,,29,12697,dataset\acts\continuing_appropriations_act_2024_and_other_extensions_act.pdf,96bee2e882435f25f42181b1280eef616c5f07c3f13d0949c1e144e213062771
Bolstering Ecosystems Against Coastal Harm Act,acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-118publ117/pdf/PLAW-118publ117.pdf,,17,7147,dataset\acts\bolstering_ecosystems_against_coastal_harm_act.pdf,25e2519345b5e80836999627e510ae33e11302d8527a2b42cc68ca4917754957
Extending Government Funding and Delivering Emergency Assistance Act,acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-117publ43/pdf/PLAW-117publ43.pdf,,39,18006,dataset\acts\extending_government_funding_and_delivering_emergency_assistance_act.pdf,4827709deb2c2b5f05cd5fe97257937b48767029f76975e3e310081f2cc50201
Hualapai Tribe Water Rights Settlement Act of 2022,acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-117publ349/pdf/PLAW-117publ349.pdf,,37,16897,dataset\acts\hualapai_tribe_water_rights_settlement_act_of_2022.pdf,718bdbb2de56f49200f6c9604339f1bf06b72d5f14787618d7691a59aac5d8a0
National Heritage Area Act,acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-117publ339/pdf/PLAW-117publ339.pdf,,18,7488,dataset\acts\national_heritage_area_act.pdf,40c29a14850885f1567ec158a9e69479878c5b4ed8afff586630c1d59825e73a
Veterans Auto and Education Improvement Act of 2022,acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-117publ333/pdf/PLAW-117publ333.pdf,,19,8870,dataset\acts\veterans_auto_and_education_improvement_act_of_2022.pdf,f613972c22c9ef3ea8c5be2eb8d14b0f5ab15789091f81cf64da9d30f4b5770d
Safeguard Tribal Objects of Patrimony Act of 2021,acts,GovInfo (U.S. GPO),https://www.govinfo.gov/content/pkg/PLAW-117publ258/pdf/PLAW-117publ258.pdf,,16,5969,dataset\acts\safeguard_tribal_objects_of_patrimony_act_of_2021.pdf,3dbcbded3c6825c1874eac5ab2b0c0f7e1e04b1737847289b7dcf8597d462d04
